typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,Column1
C,M,20030701,2003,7,200307,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,41275,FALSE,8,kg,41275,FALSE,41275,FALSE,0,FALSE,210572.985,0,210572.985,0,FALSE,TRUE,
C,M,20030701,2003,7,200307,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41275,FALSE,8,kg,41275,FALSE,41275,FALSE,0,FALSE,210572.985,0,210572.985,0,FALSE,TRUE,
C,M,20030601,2003,6,200306,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,5620,FALSE,8,kg,5620,FALSE,5620,FALSE,0,FALSE,20970.333,0,20970.333,0,FALSE,TRUE,
C,M,20030601,2003,6,200306,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5620,FALSE,8,kg,5620,FALSE,5620,FALSE,0,FALSE,20970.333,0,20970.333,0,FALSE,TRUE,
C,M,20030401,2003,4,200304,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,37625,FALSE,8,kg,37625,FALSE,37625,FALSE,0,FALSE,207045.776,0,207045.776,0,FALSE,TRUE,
C,M,20030401,2003,4,200304,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37625,FALSE,8,kg,37625,FALSE,37625,FALSE,0,FALSE,207045.776,0,207045.776,0,FALSE,TRUE,
C,M,20030301,2003,3,200303,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,33400,FALSE,8,kg,33400,FALSE,33400,FALSE,0,FALSE,171001.364,0,171001.364,0,FALSE,TRUE,
C,M,20030301,2003,3,200303,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33400,FALSE,8,kg,33400,FALSE,33400,FALSE,0,FALSE,171001.364,0,171001.364,0,FALSE,TRUE,
C,M,20031201,2003,12,200312,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,24450,FALSE,8,kg,24450,FALSE,24450,FALSE,0,FALSE,131352.786,0,131352.786,0,FALSE,TRUE,
C,M,20031201,2003,12,200312,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24450,FALSE,8,kg,24450,FALSE,24450,FALSE,0,FALSE,131352.786,0,131352.786,0,FALSE,TRUE,
